:START_ID,:END_ID,:TYPE
context-engineering,progressive-disclosure,RELATED_TO
context-engineering,context-window,MENTIONS
context-engineering,system-prompt-tiers,MENTIONS
system-prompt-tiers,system-prompt,UPPER_OF
system-prompt-tiers,soul-md,RELATED_TO
system-prompt-tiers,prompt-caching,RELATED_TO
soul-md,system-prompt-tiers,UPPER_OF
soul-md,persona,RELATED_TO
persona,soul-md,UPPER_OF
context-compression,context-engineering,UPPER_OF
context-compression,summarization,RELATED_TO
context-compression,head-tail-protection,RELATED_TO
context-compression,compression-lineage,RELATED_TO
context-compression,prompt-caching,RELATED_TO
context-compression,context-window,MENTIONS
context-compression,auxiliary-model,MENTIONS
summarization,context-compression,UPPER_OF
summarization,structured-summary,RELATED_TO
summarization,tool-output-pruning,RELATED_TO
structured-summary,summarization,UPPER_OF
head-tail-protection,context-compression,UPPER_OF
head-tail-protection,lost-in-the-middle,RELATED_TO
head-tail-protection,token-budget-tail,RELATED_TO
token-budget-tail,head-tail-protection,UPPER_OF
tool-output-pruning,summarization,UPPER_OF
tool-output-pruning,max-result-size,RELATED_TO
lost-in-the-middle,context-window,UPPER_OF
lost-in-the-middle,head-tail-protection,RELATED_TO
compression-lineage,context-compression,UPPER_OF
compression-lineage,session,RELATED_TO
compression-lineage,sessiondb,RELATED_TO
context-engine,context-engineering,UPPER_OF
context-engine,context-compression,RELATED_TO
context-engine,plugin,RELATED_TO
context-file,system-prompt-tiers,UPPER_OF
context-file,soul-md,RELATED_TO
compression-cooldown,context-compression,UPPER_OF
self-improving-agent,agent,UPPER_OF
self-improving-agent,skill,RELATED_TO
self-improving-agent,curator,RELATED_TO
self-improving-agent,memory,RELATED_TO
memory,self-improving-agent,UPPER_OF
memory,procedural-memory,RELATED_TO
memory,semantic-memory,RELATED_TO
memory,episodic-memory,RELATED_TO
memory,memory-provider,RELATED_TO
procedural-memory,memory,UPPER_OF
procedural-memory,skill,RELATED_TO
semantic-memory,memory,UPPER_OF
semantic-memory,memory-tool,RELATED_TO
semantic-memory,memory-provider,MENTIONS
episodic-memory,memory,UPPER_OF
episodic-memory,session-search,RELATED_TO
episodic-memory,sessiondb,RELATED_TO
skill,procedural-memory,UPPER_OF
skill,skill-md,RELATED_TO
skill,progressive-disclosure,RELATED_TO
skill,curator,RELATED_TO
skill,skills-hub,RELATED_TO
skill,self-improving-agent,MENTIONS
skill-md,skill,UPPER_OF
skill-md,frontmatter,RELATED_TO
frontmatter,skill-md,UPPER_OF
frontmatter,progressive-disclosure,RELATED_TO
progressive-disclosure,context-engineering,UPPER_OF
progressive-disclosure,skill,RELATED_TO
progressive-disclosure,frontmatter,RELATED_TO
progressive-disclosure,skill-tool,RELATED_TO
curator,self-improving-agent,UPPER_OF
curator,skill,RELATED_TO
curator,archive,RELATED_TO
curator,pinning,RELATED_TO
curator,auxiliary-model,RELATED_TO
archive,curator,UPPER_OF
pinning,curator,UPPER_OF
skills-hub,skill,UPPER_OF
skills-hub,plugin,RELATED_TO
self-reflection,self-improving-agent,UPPER_OF
self-reflection,learn-prompt,RELATED_TO
learn-prompt,self-reflection,UPPER_OF
learn-prompt,skill,RELATED_TO
memory-provider,memory,UPPER_OF
memory-provider,honcho,RELATED_TO
memory-provider,memory-manager,RELATED_TO
memory-provider,plugin,RELATED_TO
memory-manager,memory-provider,UPPER_OF
memory-manager,system-prompt-tiers,RELATED_TO
memory-tool,semantic-memory,UPPER_OF
honcho,memory-provider,UPPER_OF
honcho,dialectic-api,RELATED_TO
honcho,theory-of-mind,RELATED_TO
dialectic-api,honcho,UPPER_OF
dialectic-api,theory-of-mind,RELATED_TO
theory-of-mind,honcho,UPPER_OF
theory-of-mind,user-modeling,RELATED_TO
user-modeling,memory,UPPER_OF
user-modeling,theory-of-mind,RELATED_TO
user-modeling,dialectic-api,RELATED_TO
sessiondb,sqlite,RELATED_TO
sessiondb,session,RELATED_TO
sessiondb,wal,RELATED_TO
sessiondb,fts5,RELATED_TO
sqlite,sessiondb,RELATED_TO
sqlite,wal,RELATED_TO
sqlite,fts5,RELATED_TO
wal,sqlite,UPPER_OF
wal,sessiondb,RELATED_TO
session,sessiondb,UPPER_OF
session,turn,RELATED_TO
session,compression-lineage,RELATED_TO
session,context-compression,MENTIONS
fts,fts5,RELATED_TO
fts,inverted-index,RELATED_TO
fts,retrieval,RELATED_TO
fts5,fts,UPPER_OF
fts5,sqlite,UPPER_OF
fts5,bm25,RELATED_TO
fts5,tokenizer,RELATED_TO
fts5,external-content,RELATED_TO
fts5,trigram,RELATED_TO
fts5,session-search,MENTIONS
inverted-index,fts,UPPER_OF
inverted-index,tokenizer,RELATED_TO
tokenizer,fts5,UPPER_OF
tokenizer,unicode61,RELATED_TO
tokenizer,trigram,RELATED_TO
tokenizer,llm,MENTIONS
unicode61,tokenizer,UPPER_OF
unicode61,fts5,MENTIONS
trigram,tokenizer,UPPER_OF
trigram,unicode61,RELATED_TO
bm25,fts5,UPPER_OF
bm25,tf-idf,RELATED_TO
tf-idf,bm25,RELATED_TO
external-content,fts5,UPPER_OF
external-content,fts-trigger,RELATED_TO
fts-trigger,external-content,UPPER_OF
fts-trigger,sqlite,MENTIONS
session-search,fts5,UPPER_OF
session-search,episodic-memory,RELATED_TO
retrieval,fts,RELATED_TO
retrieval,vector-search,RELATED_TO
retrieval,agentic-rag,RELATED_TO
retrieval,llm,MENTIONS
vector-search,retrieval,UPPER_OF
vector-search,embedding,RELATED_TO
vector-search,hybrid-search,RELATED_TO
hybrid-search,retrieval,UPPER_OF
hybrid-search,vector-search,RELATED_TO
hybrid-search,bm25,RELATED_TO
agentic-rag,retrieval,UPPER_OF
agentic-rag,session-search,RELATED_TO
agentic-rag,tool-calling,RELATED_TO
gateway,platform-adapter,RELATED_TO
gateway,gateway-session,RELATED_TO
gateway,delivery,RELATED_TO
platform-adapter,gateway,UPPER_OF
platform-adapter,delivery,RELATED_TO
gateway-session,gateway,UPPER_OF
gateway-session,session,RELATED_TO
gateway-session,unified-inbox,RELATED_TO
delivery,gateway,UPPER_OF
delivery,platform-adapter,RELATED_TO
unified-inbox,gateway-session,UPPER_OF
slash-command,gateway,UPPER_OF
slash-command,moa,RELATED_TO
hermes-cli,repl,RELATED_TO
hermes-cli,aiagent,RELATED_TO
repl,hermes-cli,UPPER_OF
tui,tui-gateway,RELATED_TO
tui,hermes-cli,RELATED_TO
tui-gateway,tui,UPPER_OF
tui-gateway,json-rpc,RELATED_TO
desktop-app,tui-gateway,RELATED_TO
web-dashboard,plugin,RELATED_TO
profile,hermes-home,RELATED_TO
hermes-home,profile,UPPER_OF
hermes-home,config-yaml,RELATED_TO
mcp,mcp-server,RELATED_TO
mcp,json-rpc,RELATED_TO
mcp,acp,RELATED_TO
mcp,nxm-problem,RELATED_TO
mcp-server,mcp,UPPER_OF
mcp-server,mcp-client,RELATED_TO
mcp-server,mcp-primitives,RELATED_TO
mcp-server,tool-registry,MENTIONS
mcp-client,mcp,UPPER_OF
mcp-client,mcp-transport,RELATED_TO
mcp-client,mcp-server,MENTIONS
mcp-primitives,mcp,UPPER_OF
mcp-primitives,tool,RELATED_TO
mcp-transport,mcp,UPPER_OF
mcp-transport,stdio,RELATED_TO
mcp-transport,sse,RELATED_TO
mcp-transport,streamable-http,RELATED_TO
stdio,mcp-transport,UPPER_OF
sse,mcp-transport,UPPER_OF
sse,streamable-http,RELATED_TO
streamable-http,mcp-transport,UPPER_OF
streamable-http,sse,RELATED_TO
json-rpc,mcp,RELATED_TO
json-rpc,acp,RELATED_TO
json-rpc,lsp,RELATED_TO
acp,mcp,RELATED_TO
acp,json-rpc,RELATED_TO
lsp,nxm-problem,RELATED_TO
lsp,json-rpc,RELATED_TO
lsp,mcp,MENTIONS
lsp,acp,MENTIONS
nxm-problem,mcp,RELATED_TO
nxm-problem,lsp,RELATED_TO
capability-negotiation,mcp,UPPER_OF
cdp,browser-tool,RELATED_TO
cdp,websocket,RELATED_TO
cdp,cdp-domain,RELATED_TO
cdp,headless,RELATED_TO
websocket,cdp,RELATED_TO
cdp-domain,cdp,UPPER_OF
headless,cdp,UPPER_OF
headless,cloud-browser,RELATED_TO
accessibility-tree,browser-tool,UPPER_OF
cloud-browser,browser-tool,UPPER_OF
cloud-browser,cdp,RELATED_TO
execution-environment,terminal-tool,RELATED_TO
execution-environment,spawn-per-call,RELATED_TO
execution-environment,sandbox,RELATED_TO
sandbox,execution-environment,UPPER_OF
sandbox,container,RELATED_TO
sandbox,vm-isolation,RELATED_TO
sandbox,namespace,RELATED_TO
spawn-per-call,execution-environment,UPPER_OF
spawn-per-call,session-snapshot,RELATED_TO
session-snapshot,spawn-per-call,UPPER_OF
container,sandbox,UPPER_OF
container,namespace,RELATED_TO
container,cgroups,RELATED_TO
container,container-image,RELATED_TO
container,docker-backend,RELATED_TO
namespace,container,UPPER_OF
cgroups,container,UPPER_OF
cgroups,namespace,MENTIONS
container-image,container,UPPER_OF
container-image,reproducibility,RELATED_TO
docker-backend,execution-environment,UPPER_OF
docker-backend,container,UPPER_OF
ssh-backend,execution-environment,UPPER_OF
ssh-backend,file-sync,RELATED_TO
modal-backend,execution-environment,UPPER_OF
modal-backend,serverless,UPPER_OF
daytona-backend,execution-environment,UPPER_OF
daytona-backend,sandbox,RELATED_TO
singularity-backend,execution-environment,UPPER_OF
singularity-backend,container,UPPER_OF
singularity-backend,rootless,RELATED_TO
rootless,container,UPPER_OF
rootless,singularity-backend,RELATED_TO
vm-isolation,sandbox,UPPER_OF
vm-isolation,container,RELATED_TO
serverless,modal-backend,RELATED_TO
file-sync,execution-environment,UPPER_OF
file-sync,ssh-backend,RELATED_TO
reproducibility,container-image,RELATED_TO
reproducibility,nix,RELATED_TO
reproducibility,exact-pinning,RELATED_TO
nix,reproducibility,UPPER_OF
exact-pinning,reproducibility,UPPER_OF
exact-pinning,lazy-deps,RELATED_TO
lazy-deps,exact-pinning,RELATED_TO
lazy-deps,footprint-ladder,RELATED_TO
ci-cd,reproducibility,RELATED_TO
command-approval,terminal-tool,UPPER_OF
command-approval,yolo-mode,RELATED_TO
command-approval,hardline-blocklist,RELATED_TO
yolo-mode,command-approval,UPPER_OF
yolo-mode,hardline-blocklist,MENTIONS
hardline-blocklist,command-approval,UPPER_OF
untrusted-content,prompt-injection,RELATED_TO
untrusted-content,mcp-server,RELATED_TO
untrusted-content,memory-provider,RELATED_TO
prompt-injection,untrusted-content,UPPER_OF
prompt-injection,tool-poisoning,RELATED_TO
tool-poisoning,prompt-injection,UPPER_OF
tool-poisoning,mcp-server,RELATED_TO
secrets-env,config-yaml,RELATED_TO
sanitization,untrusted-content,UPPER_OF
sanitization,error-envelope,RELATED_TO
narrow-waist,footprint-ladder,RELATED_TO
narrow-waist,tool-schema,RELATED_TO
narrow-waist,core-tools,RELATED_TO
footprint-ladder,narrow-waist,UPPER_OF
footprint-ladder,check-fn,RELATED_TO
footprint-ladder,plugin,RELATED_TO
footprint-ladder,mcp,RELATED_TO
config-yaml,secrets-env,RELATED_TO
config-yaml,hermes-home,RELATED_TO
behavior-contract,change-detector,RELATED_TO
change-detector,behavior-contract,UPPER_OF
e2e-validation,behavior-contract,RELATED_TO
escape-hatch,browser-cdp-tool,RELATED_TO
escape-hatch,narrow-waist,RELATED_TO
conventional-commits,ci-cd,RELATED_TO
cron,cron-scheduler,RELATED_TO
cron,sessiondb,RELATED_TO
cron-scheduler,cron,UPPER_OF
plugin,plugin-hook,RELATED_TO
plugin,memory-provider,RELATED_TO
plugin,footprint-ladder,RELATED_TO
plugin-hook,plugin,UPPER_OF
observability,plugin,UPPER_OF
acp-adapter,acp,UPPER_OF
acp-adapter,stdio,RELATED_TO
batch-runner,aiagent,RELATED_TO
pretraining,llm,UPPER_OF
pretraining,fine-tuning,RELATED_TO
fine-tuning,pretraining,UPPER_OF
fine-tuning,peft,RELATED_TO
fine-tuning,instruction-tuning,RELATED_TO
fine-tuning,rlhf,RELATED_TO
instruction-tuning,fine-tuning,UPPER_OF
instruction-tuning,rlhf,RELATED_TO
instruction-tuning,system-prompt,RELATED_TO
rlhf,fine-tuning,UPPER_OF
rlhf,instruction-tuning,RELATED_TO
peft,fine-tuning,UPPER_OF
peft,lora,RELATED_TO
lora,peft,UPPER_OF
lora,quantization,RELATED_TO
distillation,fine-tuning,UPPER_OF
distillation,auxiliary-model,RELATED_TO
quantization,inference,UPPER_OF
quantization,lora,RELATED_TO
open-weights,llm,UPPER_OF
open-weights,provider,RELATED_TO
open-weights,inference,RELATED_TO
benchmark,llm,UPPER_OF
benchmark,llm-as-judge,RELATED_TO
benchmark,batch-runner,RELATED_TO
inference,llm,UPPER_OF
inference,latency,RELATED_TO
inference,streaming,RELATED_TO
inference,quantization,RELATED_TO
latency,inference,UPPER_OF
latency,streaming,RELATED_TO
latency,prompt-caching,RELATED_TO
streaming,inference,UPPER_OF
streaming,latency,RELATED_TO
streaming,sse,RELATED_TO
streaming,token,MENTIONS
rate-limit,inference,UPPER_OF
rate-limit,backoff,RELATED_TO
rate-limit,credential-pool,RELATED_TO
rate-limit,retry-fallback,RELATED_TO
rate-limit,provider,MENTIONS
backoff,rate-limit,UPPER_OF
backoff,retry-fallback,RELATED_TO
structured-output,llm,UPPER_OF
structured-output,json-schema,RELATED_TO
structured-output,tool-calling,RELATED_TO
structured-output,constrained-decoding,RELATED_TO
constrained-decoding,structured-output,UPPER_OF
constrained-decoding,sampling,RELATED_TO
context-caching-provider,prompt-caching,UPPER_OF
context-caching-provider,provider,RELATED_TO
multi-agent,agent,UPPER_OF
multi-agent,delegation,RELATED_TO
multi-agent,kanban,RELATED_TO
multi-agent,moa,RELATED_TO
orchestration,multi-agent,UPPER_OF
orchestration,delegation,RELATED_TO
orchestration,moa,MENTIONS
human-in-the-loop,agent,UPPER_OF
human-in-the-loop,command-approval,RELATED_TO
human-in-the-loop,autonomy,RELATED_TO
autonomy,agent,UPPER_OF
autonomy,human-in-the-loop,RELATED_TO
autonomy,yolo-mode,RELATED_TO
autonomy,command-approval,MENTIONS
agent-loop-termination,tool-calling-loop,UPPER_OF
agent-loop-termination,iteration-budget,RELATED_TO
agent-loop-termination,grace-call,RELATED_TO
multimodal,llm,UPPER_OF
multimodal,vision-model,RELATED_TO
multimodal,stt,RELATED_TO
multimodal,tts,RELATED_TO
vision-model,multimodal,UPPER_OF
vision-model,vision-tools,RELATED_TO
vision-model,computer-use,RELATED_TO
stt,multimodal,UPPER_OF
stt,voice-mode,RELATED_TO
stt,tts,RELATED_TO
tts,multimodal,UPPER_OF
tts,voice-mode,RELATED_TO
tts,stt,RELATED_TO
nous-portal,provider,UPPER_OF
nous-portal,managed-tools,RELATED_TO
nous-portal,credential-pool,RELATED_TO
managed-tools,tool,UPPER_OF
managed-tools,nous-portal,RELATED_TO
turn-isolation,turn,UPPER_OF
turn-isolation,execution-environment,RELATED_TO
turn-isolation,serverless,RELATED_TO
skin,hermes-cli,UPPER_OF
skin,plugin,RELATED_TO
setup-wizard,hermes-cli,UPPER_OF
setup-wizard,config-yaml,RELATED_TO
setup-wizard,footprint-ladder,RELATED_TO
webhook,platform-adapter,UPPER_OF
webhook,cron,RELATED_TO
api-server,platform-adapter,UPPER_OF
api-server,webhook,RELATED_TO
triage-sweeper,agent,UPPER_OF
triage-sweeper,ci-cd,RELATED_TO
optional-skills,skill,UPPER_OF
optional-skills,skills-hub,RELATED_TO
trajectory,turn,UPPER_OF
trajectory,benchmark,RELATED_TO
trajectory,episodic-memory,RELATED_TO
llm,class-llm,BELONGS_TO
transformer,class-llm,BELONGS_TO
attention,class-llm,BELONGS_TO
token,class-llm,BELONGS_TO
context-window,class-llm,BELONGS_TO
system-prompt,class-llm,BELONGS_TO
prompt,class-llm,BELONGS_TO
prompt-caching,class-llm,BELONGS_TO
kv-cache,class-llm,BELONGS_TO
sampling,class-llm,BELONGS_TO
reasoning-model,class-llm,BELONGS_TO
hallucination,class-llm,BELONGS_TO
grounding,class-llm,BELONGS_TO
auxiliary-model,class-llm,BELONGS_TO
embedding,class-llm,BELONGS_TO
agent,class-agent,BELONGS_TO
aiagent,class-agent,BELONGS_TO
tool-calling,class-agent,BELONGS_TO
tool-calling-loop,class-agent,BELONGS_TO
run-conversation,class-agent,BELONGS_TO
turn,class-agent,BELONGS_TO
iteration-budget,class-agent,BELONGS_TO
grace-call,class-agent,BELONGS_TO
react,class-agent,BELONGS_TO
role-alternation,class-agent,BELONGS_TO
message-protocol,class-agent,BELONGS_TO
tool-call-id,class-agent,BELONGS_TO
parallel-tool-calls,class-agent,BELONGS_TO
retry-fallback,class-agent,BELONGS_TO
provider,class-agent,BELONGS_TO
model-metadata,class-agent,BELONGS_TO
credential-pool,class-agent,BELONGS_TO
moa,class-agent,BELONGS_TO
proposer-aggregator,class-agent,BELONGS_TO
ensemble,class-agent,BELONGS_TO
self-consistency,class-agent,BELONGS_TO
llm-as-judge,class-agent,BELONGS_TO
moe,class-agent,BELONGS_TO
subagent,class-agent,BELONGS_TO
delegation,class-agent,BELONGS_TO
kanban,class-agent,BELONGS_TO
tool,class-tools,BELONGS_TO
tool-schema,class-tools,BELONGS_TO
json-schema,class-tools,BELONGS_TO
tool-registry,class-tools,BELONGS_TO
self-registration,class-tools,BELONGS_TO
ast-discovery,class-tools,BELONGS_TO
dispatch,class-tools,BELONGS_TO
handler,class-tools,BELONGS_TO
result-normalization,class-tools,BELONGS_TO
error-envelope,class-tools,BELONGS_TO
check-fn,class-tools,BELONGS_TO
toolset,class-tools,BELONGS_TO
core-tools,class-tools,BELONGS_TO
terminal-tool,class-tools,BELONGS_TO
file-tools,class-tools,BELONGS_TO
browser-tool,class-tools,BELONGS_TO
browser-cdp-tool,class-tools,BELONGS_TO
vision-tools,class-tools,BELONGS_TO
web-search-tool,class-tools,BELONGS_TO
delegate-tool,class-tools,BELONGS_TO
skill-tool,class-tools,BELONGS_TO
computer-use,class-tools,BELONGS_TO
voice-mode,class-tools,BELONGS_TO
max-result-size,class-tools,BELONGS_TO
context-engineering,class-context,BELONGS_TO
system-prompt-tiers,class-context,BELONGS_TO
soul-md,class-context,BELONGS_TO
persona,class-context,BELONGS_TO
context-compression,class-context,BELONGS_TO
summarization,class-context,BELONGS_TO
structured-summary,class-context,BELONGS_TO
head-tail-protection,class-context,BELONGS_TO
token-budget-tail,class-context,BELONGS_TO
tool-output-pruning,class-context,BELONGS_TO
lost-in-the-middle,class-context,BELONGS_TO
compression-lineage,class-context,BELONGS_TO
context-engine,class-context,BELONGS_TO
context-file,class-context,BELONGS_TO
compression-cooldown,class-context,BELONGS_TO
self-improving-agent,class-memory,BELONGS_TO
memory,class-memory,BELONGS_TO
procedural-memory,class-memory,BELONGS_TO
semantic-memory,class-memory,BELONGS_TO
episodic-memory,class-memory,BELONGS_TO
skill,class-memory,BELONGS_TO
skill-md,class-memory,BELONGS_TO
frontmatter,class-memory,BELONGS_TO
progressive-disclosure,class-memory,BELONGS_TO
curator,class-memory,BELONGS_TO
archive,class-memory,BELONGS_TO
pinning,class-memory,BELONGS_TO
skills-hub,class-memory,BELONGS_TO
self-reflection,class-memory,BELONGS_TO
learn-prompt,class-memory,BELONGS_TO
memory-provider,class-memory,BELONGS_TO
memory-manager,class-memory,BELONGS_TO
memory-tool,class-memory,BELONGS_TO
honcho,class-memory,BELONGS_TO
dialectic-api,class-memory,BELONGS_TO
theory-of-mind,class-memory,BELONGS_TO
user-modeling,class-memory,BELONGS_TO
sessiondb,class-state,BELONGS_TO
sqlite,class-state,BELONGS_TO
wal,class-state,BELONGS_TO
session,class-state,BELONGS_TO
fts,class-state,BELONGS_TO
fts5,class-state,BELONGS_TO
inverted-index,class-state,BELONGS_TO
tokenizer,class-state,BELONGS_TO
unicode61,class-state,BELONGS_TO
trigram,class-state,BELONGS_TO
bm25,class-state,BELONGS_TO
tf-idf,class-state,BELONGS_TO
external-content,class-state,BELONGS_TO
fts-trigger,class-state,BELONGS_TO
session-search,class-state,BELONGS_TO
retrieval,class-state,BELONGS_TO
vector-search,class-state,BELONGS_TO
hybrid-search,class-state,BELONGS_TO
agentic-rag,class-state,BELONGS_TO
gateway,class-gateway,BELONGS_TO
platform-adapter,class-gateway,BELONGS_TO
gateway-session,class-gateway,BELONGS_TO
delivery,class-gateway,BELONGS_TO
unified-inbox,class-gateway,BELONGS_TO
slash-command,class-gateway,BELONGS_TO
hermes-cli,class-gateway,BELONGS_TO
repl,class-gateway,BELONGS_TO
tui,class-gateway,BELONGS_TO
tui-gateway,class-gateway,BELONGS_TO
desktop-app,class-gateway,BELONGS_TO
web-dashboard,class-gateway,BELONGS_TO
profile,class-gateway,BELONGS_TO
hermes-home,class-gateway,BELONGS_TO
mcp,class-protocol,BELONGS_TO
mcp-server,class-protocol,BELONGS_TO
mcp-client,class-protocol,BELONGS_TO
mcp-primitives,class-protocol,BELONGS_TO
mcp-transport,class-protocol,BELONGS_TO
stdio,class-protocol,BELONGS_TO
sse,class-protocol,BELONGS_TO
